task,missing_pct,SSL_1,Scr_1,SSL_5,Scr_5,SSL_10,Scr_10,SSL_20,Scr_20
2079,4.305135726928711,0.5538161235037201,0.5603108486923829,0.7418437391102098,0.7667972189739897,0.7957503554858952,0.8074271284099618,0.8475291946371438,0.8694289644838671
3021,22.215675354003906,0.937987344355991,0.8716880996121658,0.9343947744437641,0.9304347826086956,0.9571341090018372,0.9479077362727087,0.9698305776689121,0.9695856297203512
14954,5.258344650268555,0.5942028985507246,0.6797568957456755,0.7379616643291258,0.758765778401122,0.7798036465638148,0.8064516129032259,0.7994389901823281,0.8298270219728846
146800,1.7316017150878906,0.6876766785284136,0.6849157699719273,0.881341178102959,0.9124218797427884,0.9428670657898902,0.9559935887918751,0.9868974278339455,0.9921548068293662
2,0.0,0.7002424350126107,0.5939428315121899,0.8642509445039033,0.776053997480011,0.9763423790112427,0.9233086241191181,0.9911099600688301,0.9815185540417252
15,0.24730612337589264,0.9927536231884059,0.9879227053140097,0.991243961352657,0.984903381642512,0.9873188405797103,0.9888285024154589,0.9873188405797101,0.9833937198067634
29,0.6172839403152466,0.843019943019943,0.8582621082621081,0.8660968660968661,0.8461538461538461,0.8655270655270654,0.8418803418803419,0.8849002849002848,0.8871794871794871
3904,0.009722141548991203,0.6619822085955803,0.6400938151118979,0.6429151057804071,0.6238605980128614,0.6498027975400072,0.632920035841907,0.6898604468722898,0.6721608063709349
7592,0.0,0.8729994647027643,0.8583560619802989,0.8819780859624746,0.8808157942150453,0.8851414501459942,0.8863683520242308,0.8928353503664668,0.8948930142176051
6,0.0,0.9251762869526896,0.9232384684671823,0.9809666719881297,0.9824985225181143,0.9937931356711319,0.9936775530959711,0.9979017231337491,0.998074096947906
32,0.0,0.9887261910021055,0.9872678303709278,0.9974432970310859,0.9987869888985408,0.9997588168684288,0.9998475846573704,0.999883901674148,0.9998272987771716
37,0.0,0.8345679012345678,0.8320987654320987,0.8590123456790123,0.8158024691358025,0.840246913580247,0.8049382716049381,0.8807407407407407,0.8748148148148148
43,0.0,0.928860267569945,0.9237071172555044,0.9379586960232121,0.9459542846639621,0.9431906206099754,0.953109614399937,0.9532999855580501,0.9648272874079326
53,0.0,0.6135850087412588,0.6612469474969475,0.8406156343656344,0.8305869766807267,0.9191396971084472,0.9163904382654383,0.9209476461038961,0.9238487033799534
